CNTYVTD,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
"3630025",57,9,2
"3630026",30,14,1
"3630027",683,207,6
"3630028",265,101,1
"3630029",280,145,4
"3630030",168,83,0
"3650001",832,201,3
"3650002",952,222,3
"3650003",582,156,2
"3650005",259,27,0
"3650007",301,79,4
"3650008",102,19,1
"3650009",333,50,1
"3650010",148,48,1
"3650012",250,8,2
"3650013",138,46,0
"3650014",238,20,1
"3650018",1013,176,6
"3650019",179,10,2
"3650020",178,2,0
"3650022",100,84,1
"3650026",74,29,1
"3650027",311,230,1
"3650028",939,183,1
"3650029",191,8,1
"3670100",1943,506,25
"3670105",982,188,7
"3670110",623,191,13
"3670111",532,140,6
"3670115",935,224,14
"3670120",866,175,17
"3670125",1227,173,11
"3670130",1368,264,9
"3670135",710,133,15
"3670140",522,96,11
"3670200",582,195,9
"3670205",637,275,13
"3670210",922,127,7
"3670215",1689,304,14
"3670220",367,52,2
"3670225",618,112,1
"3670230",688,143,6
"3670235",541,86,8
"3670240",655,123,5
"3670245",714,121,5
"3670250",709,152,18
"3670255",802,224,7
"3670300",713,290,10
"3670305",1028,314,8
"3670310",565,244,7
"3670315",1764,467,16
"3670320",920,156,11
"3670325",919,156,8
"3670330",601,136,7
"3670335",1924,227,9
"3670340",510,61,3
"3670345",969,179,10
"3670350",1342,224,11
"3670400",1628,399,11
"3670405A",1565,324,18
"3670405B",134,27,1
"3670410",988,261,8
"3670415",1183,378,17
"3670420",1103,204,10
"3670425",698,142,6
"3670430",1233,381,22
"3670435",1323,369,13
"3670440",2048,464,18
"3670445",1021,194,7
"3670450",1260,355,14
"3690101",515,112,4
"3690201",161,111,2
"3690202",119,9,0
"3690203",45,0,0
"3690301",436,61,2
"3690302",128,5,1
"3690303",31,4,0
"3690401",157,14,0
"3690402",83,56,1
"3710001",588,348,4
"3710002",448,382,5
"3710003",133,14,0
"3710004",329,58,2
"3710005",46,4,0
"3710006",30,18,0
"3710007",335,320,4
"3710009",100,28,2
"3710010",152,167,3
"3730001",169,19,1
"3730002",218,28,2
"3730003",604,175,7
"3730004",584,151,2
"3730005",1017,290,13
"3730006",1914,379,13
"3730007",250,102,0
"3730008",318,128,3
"3730009",287,69,0
"3730010",665,298,6
"3730011",140,45,0
"3730012",63,64,4
"3730013",199,19,0
"3730014",326,50,2
"3730015",438,59,5
"3730016",1734,307,13
"3730017",517,84,1
"3730018",90,179,2
"3730019",1383,635,14
"3730020",1394,632,16
"3730021",484,137,2
"3750121",959,253,8
"3750122",804,303,15
"3750123",1213,659,24
"3750124",995,316,15
"3750125",1200,630,18
"3750126",714,394,15
"3750221",261,235,2
"3750222",264,187,3
"3750223",266,334,3
"3750224",580,419,6
"3750225",267,267,4
"3750321",1346,147,11
"3750322",100,16,1
"3750323",1874,312,19
"3750324",2109,566,8
"3750325",974,347,15
"3750326",1083,213,8
"3750327",458,95,12
"3750421",157,271,3
"3750422",438,722,11
"3750424",186,323,5
"3750425",233,320,5
"3750426",118,89,3
"3750427",90,103,0
"3770001",74,119,1
"3770002",51,129,1
"3770003",3,16,0
"3770004",41,237,3
"3770005",30,131,0
"3770006",11,4,0
"3770007",222,584,5
"3790101",620,69,3
"3790102",315,76,3
"3790203",737,101,4
"3790204",306,43,1
"3790305",441,91,2
"3790306",417,143,0
"3790407",472,79,6
"3790408",394,79,4
"3810110",2426,369,20
"3810111",1354,656,17
"3810112",1012,440,19
"3810114",1059,396,16
"3810123",620,257,6
"3810208",2750,665,26
"3810220",896,222,6
"3810222",2138,482,23
"3810227",2568,555,17
"3810228",2442,614,29
"3810230",1591,332,11
"3810305",1249,285,11
"3810306",1800,477,21
"3810307",1805,393,16
"3810309",1660,213,11
"3810324",2603,574,22
"3810325",2036,280,13
"3810415",1823,515,13
"3810418",2193,624,24
"3810421",1291,404,14
"3810426",1472,227,15
"3810429",1691,633,13
"3830001",70,33,1
"3830002",255,37,2
"3830003A",182,34,2
"3830003B",22,0,0
"3830004",163,32,1
"3850001",366,77,1
"3850002",406,61,3
"3850003",191,55,2
"3850004",137,21,0
"3850006",168,27,2
"3850007",43,4,0
"3870001",44,5,0
"3870002",255,115,1
"3870003",304,257,3
"3870004",301,178,0
"3870005",494,64,1
"3870007",124,26,1
"3870009",171,8,0
"3870010",117,6,1
"3870011",70,9,0
"3870013",289,50,1
"3870014",101,19,0
"3870017",128,19,3
"3870018",79,11,0
"3870019",206,29,2
"3870020",47,36,1
"3870021",68,22,1
"3870024",89,23,0
"3870027",217,15,0
"3870028",98,42,1
"3870029",74,30,0
"3870030",67,3,1
"3870031",84,6,1
"3890001",42,62,1
"3890002",117,176,0
"3890003",165,178,0
"3890004",27,6,0
"3890005",83,110,0
"3890006",25,27,1
"3890007",188,140,3
"3890008",56,62,1
"3890010",132,165,2
"3890011",79,168,3
"3890012",211,158,4
"3910001",94,94,1
"3910002",403,106,0
"3910003",294,90,1
"3910004",51,124,2
"391001A",105,141,2
"391002A",115,12,1
"391002B",103,55,0
"391003A",267,80,0
"391004A",130,97,1
"391004B",74,48,1
"3930001",113,2,0
"3930002",118,3,0
"3930003",81,9,0
"39304-1",63,2,0
"39304-2",66,3,0
"3950001",385,341,2
"3950002",466,286,2
"3950003",317,45,3
"3950004",275,35,1
"3950005",651,207,8
"3950006",708,167,3
"3950007",22,22,1
"3950008",164,17,2
"3950011",482,146,4
"3950013",122,12,1
"3950016",84,13,0
"3950018",48,5,0
"3950019",312,38,3
"3950022",100,446,1
"3950023",156,162,0
"3970001",2226,1075,34
"3970002",1865,783,19
"3970003",137,137,1
"3970004",1174,351,15
"397001A",1315,797,27
"397001B",2680,947,41
"397001C",1534,565,21
"397002A",1781,939,19
"397002B",742,430,9
"397002C",2636,791,28
"397003A",324,417,4
"397003B",945,760,9
"397003C",1466,373,10
"397003D",3091,950,25
"397004A",2876,1621,43
"397004B",528,281,4
"397004C",1270,496,20
"3990001",575,94,4
"3990002",50,11,0
"3990003",558,79,7
"3990004A",132,23,2
"3990004B",7,0,0
"3990005",91,8,1
"3990006",78,6,0
"3990007",378,61,2
"3990008",366,35,3
"3990009",370,51,3
"3990010",237,17,0
"4010111",433,78,1
"4010112",788,160,4
"4010113",1185,336,3
"4010114",658,147,4
"4010201",381,93,1
"4010212",427,85,1
"4010213",831,187,3
"4010214",1141,361,8
"4010215",813,302,5
"4010302",289,261,3
"4010303",369,338,4
"4010314A",485,55,4
"4010314B",44,4,0
"4010315",409,38,5
"4010316",246,18,1
"4010317",175,121,2
"4010318",478,130,3
"4010319",117,87,1
"4010404",804,175,8
"4010405",572,150,6
"4010416",407,83,3
"4010417",574,169,3
"4010418",969,231,3
"4030001",943,104,3
"4030002",755,83,6
"4030003",155,72,2
"4030004",137,7,0
"4030005",488,43,2
"4030006",789,119,1
"4030007",43,50,1
"4030008",146,18,0
"4050001",439,219,5
"4050002",110,85,1
"4050003",95,36,0
"4050004",156,59,0
"4050005",170,24,1
"4050006",150,26,0
"4050007",161,35,1
"4050008",337,30,2
"4050009",450,51,2
"4050010",192,17,4
"4050011",6,152,0
"4070001",1158,326,13
"4070002",1321,312,7
"4070003",558,128,6
"4070004",401,28,2
"4070005",875,127,7
"4070006",984,214,5
"4070007",901,308,5
"4070008",452,134,4
"4070010",292,49,2
"4070013",302,59,2
"4070014",255,100,2
"4090101",114,104,3
"4090102",572,553,4
"4090103",168,26,1
"4090104",409,234,2
"4090105",183,453,2
"4090106",410,224,10
"4090107",87,47,0
"4090108",1429,550,15
"4090109",930,363,13
"4090110",448,324,4
"4090111",22,3,0
"4090112",73,336,0
"4090113",125,292,2
"4090114",641,221,3
"4090115",1295,422,9
"4090116",1673,526,14
"4090117",162,64,1
"4090118",328,538,3
"4090119",449,197,8
"4090120",290,96,0
"4090121",605,307,7
"4090122",275,112,1
"4090123",29,24,0
"4090124",599,754,5
"4090125",19,7,0
"4110001",461,71,2
"411002A",321,34,2
"411002B",154,15,2
"411003A",236,51,3
"411003B",166,30,1
"411004A",411,40,1
"411004B",62,6,0
"4130001",218,70,3
"4130002",186,53,2
"4130003",51,39,1
"4130004",280,47,2
"4150005",56,8,0
"4150006",134,23,0
"4150007",968,148,5
"4150008",364,53,1
"4150009",257,20,1
"4150010",644,72,3
"4150011",72,5,0
"4150012",503,119,4
"4150013",229,39,1
"4150014",67,13,0
"4150015",411,142,1
"4170101",283,29,1
"4170202",335,21,0
"4170303",133,7,1
"4170307",157,13,0
"4170404",23,0,0
"4170405",105,12,1
"4170406A",136,21,1
"4170406B",2,0,0
"4190002",386,45,3
"4190003",166,11,1
"4190004",338,53,1
"4190005",927,83,6
"4190006",265,53,1
"4190007",305,117,0
"4190008",373,180,3
"419001N",584,124,1
"419001S",714,177,4
"419001W",208,35,0
"419009N",475,115,2
"419009S",418,77,5
"41901SE",266,360,2
"41901SW",583,91,3
"4210101",38,4,1
"4210102",97,21,4
"4210201",67,18,6
"4210202",60,0,6
"4210301",67,9,2
"4210302",105,11,8
"4210401",258,24,16
"4230001",55,103,1
"4230002",55,237,1
"4230003",1043,423,9
"4230004",369,344,3
"4230005",2073,343,22
"4230006",376,91,3
"4230007",799,250,6
"4230008",587,183,5
"4230009",44,93,1
"4230010",703,790,4
"4230011",107,638,3
"4230012",258,791,4
"4230013",22,677,1
"4230014",556,325,11
"4230015",2598,397,12
"4230016",60,513,3
"4230017",471,57,2
"4230018",41,575,2
"4230019",2291,441,17
"4230020",112,162,3
"4230021",702,252,5
"4230022",135,114,2
"4230023",892,415,8
"4230025",957,325,18
"4230026",1218,250,9
"4230027",614,340,11
"4230028",1755,376,14
"4230029",812,225,8
"4230030",2144,420,20
"4230031",1873,352,16
"4230032",1171,353,11
"4230034",164,504,0
"4230035",513,784,8
"4230036",250,998,4
"4230037",952,211,0
"4230038",824,439,3
"4230039",122,135,2
"4230040",2544,511,19
"4230041",1817,345,9
"4230042",1968,436,10
"4230043",375,223,5
"4230044",1181,762,14
"4230045",703,88,3
"4230046",400,176,2
"4230047",142,60,1
"4230048",116,92,4
"4230049",39,76,0
"4230050",1116,391,7
"4230052",1029,196,3
"4230054",1323,564,9
"4230055",1646,910,19
"4230056",1485,559,12
"4230058",1500,463,6
"4230059",1588,501,16
"4230060",85,153,2
"4230061",586,529,10
"4230063",6,30,0
"4230064",48,38,0
"4230065",35,38,0
"4230066",170,156,2
"4230070",179,112,6
"4230071",1959,526,13
"4230072",73,42,1
"4230073",161,145,3
"4230074",161,39,1
"4230075",1682,257,9
"4230076",67,183,1
"4230077",118,97,2
"4230078",76,19,0
"4230079",1603,442,16
"4230080",10,2,0
"4230081",43,83,1
"4230082",8,12,0
"4250001",622,113,4
"4250002",895,185,6
"4250003",761,178,7
"4250004",754,157,8
"4270001",280,678,5
"4270002",305,971,2
"4270003",149,475,7
"4270004",126,139,0
"4270005",18,31,0
"4270006",552,2632,35
"4270007",97,325,2
"4270008",190,726,4
"4270009",226,803,5
"4270010",493,1466,8
"4291-11",492,71,4
"4292-11",624,82,1
"4292-19A",41,2,0
"4292-19B",95,8,0
"4292-19C",0,0,0
"4293-11",223,46,3
"4293-19",236,19,1
"4294-11",275,50,1
"4294-19",453,36,3
"4295-11",188,10,0
"4310001A",96,8,0
"4310001B",29,4,0
"4310002A",62,10,0
"4310002B",6,1,0
"4310002C",10,2,0
"4310002D",3,1,0
"4310003",135,6,0
"4310004",101,12,0
"4330001",133,19,2
"4330002",133,32,0
"4330003",127,20,0
"4330004",104,41,3
"4350101",154,75,1
"4350201",270,37,4
"4350301",358,84,1
"4350401",152,69,1
"4370001",212,62,2
"4370002",377,109,2
"4370003",335,72,1
"4370004",90,52,2
"4370006",118,42,0
"4370007",200,36,6
"4370009",17,7,0
"4370011",112,40,1
"4391001",461,598,12
"4391004",640,674,10
"4391005",22,331,2
"4391008",3,110,2
"4391009",466,336,12
"4391010",27,117,0
"4391011",34,325,0
"4391012",441,800,9
"4391013",134,1004,7
"4391014",106,176,2
"4391015",206,429,5
"4391019",59,242,0
"4391021",1159,631,16
"4391022",391,365,3
"4391023",1286,1298,18
"4391024",1041,666,11
"4391025",280,648,5
"4391034",1401,447,11
"4391056",20,114,2
"4391059",17,194,0
"4391061",5,49,0
"4391062",5,16,0
"4391064",0,0,0
"4391066",116,262,3
"4391071",359,796,11
"4391074",24,263,2
"4391075",51,296,2
"4391076",270,494,4
"4391078",10,348,2
"4391079",20,435,0
"4391080",25,472,2
"4391081",245,198,4
"4391082",98,190,1
"4391083",58,324,2
"4391084",0,0,0
"4391085",120,223,3
"4391088",79,445,2
"4391089",25,554,1
"4391090",25,519,3
"4391094",266,612,8
"4391095",344,263,4
"4391098",44,614,4
"4391099",89,252,0
"4391103",597,307,4
"4391104",112,1160,6
"4391105",556,538,11
"4391106",20,884,6
"4391108",520,619,12
"4391109",101,376,5
"4391111",1250,417,12
"4391117",583,632,10
"4391119",880,1715,21
"4391120",54,1192,6
"4391126",279,724,15
"4391127",34,698,3
"4391132",30,612,3
"4391133",415,667,10
"4391142",374,413,9
"4391146",449,925,7
"4391149",206,876,5
"4391150",226,580,4
"4391151",251,394,10
"4391153",54,813,1
"4391154",34,175,1
"4391165",44,103,1
"4391167",419,493,15
"4391170",500,1003,11
"4391175",338,504,7
"4391184",178,273,8
"4391186",293,119,2
"4391188",9,268,0
"4391189",662,808,13
"4391197",1170,1388,26
"4391198",61,125,2
"4391199",155,127,2
"4391206",993,569,18
"4391207",559,799,12
"4391208",1950,1026,30
"4391211",45,863,7
"4391227",582,1698,15
"4391236",137,229,4
"4391237",104,260,0
"4391238",529,1027,11
"4391241",33,88,0
"4391244",70,32,0
"4391251",282,1460,13
"4391255",515,1222,6
"4391257",262,563,9
"4391264",566,528,7
"4391265",481,760,8
"4391270",138,178,1
"4391271",1137,468,13
"4391273",321,715,9
"4391277A",426,461,7
"4391277B",0,0,0
"4391278",163,890,7
"4391279",317,898,6
"4391291",41,974,6
"4391292",162,631,7
"4391293",83,555,1
"4391294",1368,966,26
"4391295",122,300,2
"4391296",828,721,12
"4391297",61,1161,4
"4391298",587,830,10
"4391300",366,890,9
"4391301",123,878,2
"4391311",224,824,10
"4391337",963,523,14
"4391339",898,769,18
"4391345",89,101,3
"4391346",17,401,1
"4391347",1134,1695,24
"4391348",379,146,4
"4391351",0,0,0
"4391352",272,116,0
"4391366",0,0,0
"4391376",0,7,1
"4391377",1076,1299,15
"4391378",413,1437,9
"4391380",346,527,10
"4391382",246,905,9
"4391388",405,1011,11
"4391394",0,0,0
"4391404",7,11,0
"4391407",12,28,0
"4391408",23,70,1
"4391412",0,0,0
"4391414",5,21,0
"4391415",111,485,4
"4391416",40,53,0
"4391418",0,0,0
"4391420",0,0,0
"4391423",1372,641,10
"4391424",10,7,0
"4391427",0,2,1
"4391430",1,4,0
"4391431",780,344,8
"4391434",3,0,0
"4391436",188,307,2
"4391437",237,241,1
"4391439",6,47,0
"4391440",191,786,8
"4391441",67,323,2
"4391444",9,23,1
"4391445",18,37,1
"4391455",0,0,0
"4391457",2,1,0
"4391459",223,760,12
"4391460",244,975,3
"4391463",177,602,6
"4391472",66,56,1
"4391473",15,31,0
"4391476",12,33,0
"4391477",55,373,3
"4391479",17,69,2
"4391481",23,155,1
"4391482",27,272,1
"4391489",245,751,7
"4391490",78,211,3
"4391491",1,0,0
"4391501",108,175,4
"4391504",911,246,12
"4391514",0,0,0
"4391515",9,8,0
"4391518",85,311,0
"4391543",0,0,0
"4391544",0,2,0
"4391547",0,0,0
"4391549",0,0,0
"4391550",0,20,0
"4391555",1,1,0
"4391559",29,89,0
"4391564",0,0,0
"4391576",3,75,0
"4391577",55,418,3
"4391578",156,573,6
"4391586",0,1,0
"4391589",44,71,0
"4391594",0,0,0
"4391597",33,220,0
"4391603",289,931,8
"4391605",0,0,0
"4391607",0,0,0
"4391608",218,387,3
"4391610",0,0,0
"4391611",4,4,0
"4391617",5,9,0
"4391619",3,9,0
"4391621",17,40,0
"4391622",15,14,0
"4391623",0,0,0
"4391625",0,0,0
"4391627",120,49,3
"4391628",0,0,0
"4391631",49,91,1
"4391633",8,10,0
"4391639",395,1686,12
"4391641",927,1591,26
"4391642",297,914,5
"4391651",0,0,0
"4391652",0,79,1
"4391672",0,0,0
"4391674",0,0,0
"4391676",46,107,1
"4391677",7,11,0
"4391678",1,4,0
"4391679",0,0,0
"4391684",122,166,5
"4391701",269,370,6
"4391704",731,445,13
"4392002",0,3,0
"4392003",329,283,16
"4392007",864,563,8
"4392026",663,563,16
"4392027",204,394,4
"4392028",509,313,12
"4392029",1619,1024,29
"4392030",370,1321,15
"4392031",716,1981,18
"4392033",551,541,6
"4392052",477,902,14
"4392055",660,625,14
"4392058",0,0,0
"4392100",139,147,5
"4392112",868,428,6
"4392134",133,222,2
"4392143",165,244,6
"4392145",222,588,12
"4392147",394,376,10
"4392148",256,741,13
"4392158",773,688,16
"4392161",258,667,12
"4392168",503,750,16
"4392169",131,398,5
"4392171",953,765,20
"4392173",456,242,6
"4392174",811,748,9
"4392180",157,593,3
"4392181",911,796,15
"4392190",78,99,1
"4392205",892,666,27
"4392210",113,232,3
"4392217",535,964,18
"4392219",814,767,8
"4392220",988,751,9
"4392221",1296,1509,24
"4392223",863,379,6
"4392224",322,698,8
"4392225",111,529,4
"4392226",301,636,6
"4392228",954,662,10
"4392229",645,640,22
"4392235",470,853,8
"4392246",462,352,10
"4392258",243,117,0
"4392262",405,170,4
"4392263",305,599,5
"4392266",1097,788,19
"4392267",296,717,9
"4392268",267,393,4
"4392269",102,131,3
"4392274",2,0,0
"4392275",173,332,4
"4392280",541,517,22
"4392281",450,396,3
"4392299",230,649,6
"4392302",131,608,7
"4392303",802,629,15
"4392304",889,607,8
"4392305",580,512,10
"4392306",802,495,12
"4392307",1430,1232,25
"4392308",890,746,13
"4392309",238,429,7
"4392310",600,530,14
"4392313",853,600,16
"4392314",1255,814,25
"4392315",289,652,10
"4392316",418,591,8
"4392317",470,364,5
"4392318",664,444,6
"4392319",905,598,14
"4392320",271,634,8
"4392341",45,156,0
"4392349",321,676,6
"4392353",227,429,3
"4392354",399,786,7
"4392355",496,407,7
"4392356",868,947,10
"4392357",1158,759,11
"4392358",876,609,13
"4392360",1332,656,15
"4392379",519,1499,7
"4392381",60,205,2
"4392383",420,810,7
"4392393",72,139,2
"4392401",93,74,2
"4392402",6,2,0
"4392403",2,8,0
"4392405",621,1635,17
"4392411",40,146,1
"4392413",68,299,1
"4392419",0,0,0
"4392425",721,982,9
"4392426",859,556,7
"4392428",69,184,0
"4392435",756,793,16
"4392438",371,1003,11
"4392442",549,693,8
"4392448",457,1085,16
"4392449",370,846,8
"4392450",382,916,9
"4392451",9,61,0
"4392453",362,857,3
"4392461",194,785,9
"4392462",246,656,6
"4392464",167,136,2
"4392466",195,473,6
"4392467",403,846,12
"4392468",812,686,11
"4392474",157,63,2
"4392484",580,1421,9
"4392488",420,935,5
"4392505",586,380,7
"4392506",1481,1234,28
"4392513",0,0,0
"4392519",189,440,4
"4392520",584,586,12
"4392521",407,352,10
"4392522",1333,1038,16
"4392523",265,613,6
"4392524",1181,400,15
"4392525",415,1219,10
"4392535",761,453,7
"4392536",486,631,8
"4392537",170,512,5
"4392541",353,920,9
"4392546",7,29,0
"4392548",694,309,14
"4392553",247,535,10
"4392556",688,518,10
"4392557",177,489,11
"4392561",0,0,0
"4392569",4,21,0
"4392571",0,0,0
"4392581",454,850,14
"4392600",0,0,0
"4392601",0,0,0
"4392606",1,7,0
"4392609",0,0,0
"4392612",0,0,0
"4392613",162,672,7
"4392614",72,121,0
"4392616",8,26,0
"4392618",8,26,0
"4392635",630,1522,17
"4392636",793,589,18
"4392643",1026,1768,16
"4392644",458,1237,10
"4392645",841,460,6
"4392655",168,379,7
"4392656",7,35,0
"4392657",4,10,0
"4392658",57,169,1
"4392659",3,4,0
"4392660",80,54,0
"4392670",25,47,1
"4392673",0,0,0
"4392675",0,0,0
"4392680",0,0,0
"4392681",0,0,0
"4392697",612,893,11
"4392699",687,1346,8
"4393032",510,324,14
"4393035",1619,937,20
"4393036",490,593,17
"4393037",1148,659,17
"4393038",968,938,16
"4393039",1736,982,23
"4393040",1200,654,13
"4393041",638,533,11
"4393043",1345,523,16
"4393049",1419,601,23
"4393054",1352,837,17
"4393063",1641,869,26
"4393072",1223,524,14
"4393114",1037,657,15
"4393131",623,374,12
"4393139",389,321,11
"4393140",687,374,13
"4393152",16,5,1
"4393156",805,320,6
"4393157",632,602,10
"4393160",561,586,16
"4393164",627,422,14
"4393166",555,678,12
"4393172",802,651,16
"4393176",1132,815,18
"4393177",1117,494,7
"4393183",1036,1073,21
"4393185",2,0,0
"4393187",523,381,12
"4393192",378,112,2
"4393193",1576,641,15
"4393194",658,434,17
"4393196",977,506,12
"4393200",830,658,11
"4393209",1962,751,17
"4393212",525,585,14
"4393213",576,434,7
"4393214",912,654,14
"4393215",1026,476,16
"4393216",1011,1097,14
"4393240",862,570,16
"4393247",403,510,12
"4393248",1815,885,22
"4393249",1007,1021,19
"4393254",666,616,12
"4393260",664,341,14
"4393282",638,397,14
"4393283",694,418,14
"4393286",440,146,0
"4393287",846,576,19
"4393289",910,534,20
"4393321",1617,1246,39
"4393322",905,560,8
"4393323",1732,775,30
"4393324",838,485,7
"4393325",418,216,6
"4393326",271,195,5
"4393327",644,428,5
"4393329",598,813,15
"4393330",553,273,6
"4393331",2071,882,23
"4393332",833,739,9
"4393333",1718,1143,26
"4393334",661,639,10
"4393335",900,549,13
"4393336",686,1072,12
"4393359",914,567,11
"4393361",1122,778,17
"4393363A",657,292,8
"4393363B",466,208,6
"4393364",253,266,2
"4393365",1951,853,17
"4393367",695,441,13
"4393368",376,183,3
"4393372",1174,775,16
"4393384",545,510,11
"4393385",1334,765,19
"4393386",2040,917,25
"4393387",992,444,15
"4393389",993,1257,23
"4393390",1894,910,23
"4393391",624,883,16
"4393392",1058,477,18
"4393396",1206,974,11
"4393398",552,337,16
"4393406",0,0,0
"4393409",9,2,0
"4393417",766,497,6
"4393421",715,292,14
"4393422",2115,827,30
"4393433",304,129,3
"4393443",829,606,13
"4393446",0,0,0
"4393447",0,0,0
"4393465",1037,864,20
"4393469",455,373,9
"4393470",58,26,1
"4393471",868,384,13
"4393486",1722,1174,24
"4393500",209,62,1
"4393502",830,261,6
"4393507",782,592,10
"4393509",696,487,14
"4393510",1503,664,12
"4393511",627,895,19
"4393516",948,489,11
"4393517",622,656,8
"4393526",626,292,1
"4393527",974,548,8
"4393529",1041,602,7
"4393530",1080,768,17
"4393538",1514,968,10
"4393539",6,2,0
"4393542",897,635,12
"4393545",1178,559,10
"4393552A",782,738,8
"4393552B",220,208,4
"4393554",1400,632,14
"4393558",1588,826,13
"4393560",0,0,0
"4393562",79,24,1
"4393566",1,1,0
"4393567",1499,505,12
"4393570",905,718,17
"4393574",106,153,1
"4393575",0,0,0
"4393579",435,170,2
"4393580",0,0,0
"4393582",26,2,0
"4393583",0,0,0
"4393584",0,0,0
"4393585",0,0,0
"4393590",0,0,0
"4393624",115,91,2
"4393626",355,139,5
"4393637",575,598,16
"4393646",1016,769,22
"4393647",1036,838,14
"4393648",1225,858,21
"4393653",1,0,0
"4393654",0,0,0
"4393661",0,0,0
"4393662",5,1,0
"4393663",2,2,0
"4393664",0,0,0
"4393665",11,0,0
"4393667",51,23,3
"4393668",186,71,3
"4393669",2,1,0
"4393671",297,142,3
"4393695",1345,952,14
"4393696",1220,886,14
"4393698",1220,1068,14
"4393700",580,396,9
"4394006",81,350,7
"4394016",447,585,15
"4394017",169,873,4
"4394018",349,197,4
"4394020",430,318,11
"4394042",291,252,3
"4394044A",1543,646,16
"4394044B",28,12,0
"4394045",1133,469,15
"4394046",1622,545,16
"4394047",1276,345,14
"4394048",50,254,1
"4394050",62,424,0
"4394051",1,3,0
"4394053",389,263,5
"4394057",231,205,3
"4394060",262,938,10
"4394065",1609,477,13
"4394067",102,509,4
"4394068",84,433,5
"4394069",1648,1070,23
"4394070",683,742,11
"4394073",128,102,2
"4394077",75,129,1
"4394086",1112,634,16
"4394087",28,209,1
"4394091",824,459,9
"4394092",50,339,1
"4394093",125,619,3
"4394096",191,521,4
"4394097",115,419,7
"4394101",202,343,2
"4394102",226,262,4
"4394107",62,343,4
"4394110",86,395,2
"4394113",114,69,1
"4394115",352,103,3
"4394116",724,751,12
"4394118",313,448,5
"4394121",744,545,18
"4394122",110,512,4
"4394123",96,484,1
"4394124",350,418,13
"4394125",121,140,1
"4394128",839,529,10
"4394129",454,342,9
"4394130",1078,716,12
"4394135",346,346,2
"4394136",500,653,16
"4394137",525,429,13
"4394138",167,180,3
"4394141",751,620,10
"4394144",545,324,4
"4394155",253,842,10
"4394159",416,346,11
"4394162",102,145,1
"4394163",443,416,9
"4394178",1085,785,10
"4394179",266,375,5
"4394182",1138,962,12
"4394191",421,233,9
"4394195",81,501,5
"4394201",65,413,2
"4394202",343,425,12
"4394203",340,575,5
"4394204",944,739,18
"4394218",295,295,7
"4394222",248,290,6
"4394230",1236,1065,21
"4394231",98,548,3
"4394232",969,1144,25
"4394233",103,511,4
"4394234",1197,791,27
"4394239",48,23,3
"4394242",254,105,3
"4394243",413,393,13
"4394245",4,52,0
"4394250",805,767,16
"4394252",300,329,8
"4394253",113,152,8
"4394256",60,299,1
"4394259",529,189,8
"4394261",734,810,19
"4394272",179,126,3
"4394276",674,539,11
"4394284",118,33,2
"4394285",105,166,3
"4394288",13,71,1
"4394290",681,562,10
"4394312",17,55,0
"4394328",359,313,5
"4394338",1008,849,14
"4394340",880,324,16
"4394342",857,701,15
"4394343",793,478,11
"4394344",576,399,10
"4394350",361,577,10
"4394362",2,1,0
"4394369",1284,837,17
"4394370",0,0,0
"4394371",1194,324,5
"4394373",103,50,1
"4394374",651,597,19
"4394375",1104,513,12
"4394395",239,69,3
"4394397",110,87,3
"4394399",93,40,2
"4394400",81,67,2
"4394410",681,748,5
"4394429",471,365,7
"4394432",3,11,1
"4394452",1180,1242,17
"4394454",778,470,12
"4394456",444,292,7
"4394458",3,1,0
"4394475",11,34,0
"4394478",0,0,0
"4394480",379,185,6
"4394483",10,14,0
"4394485",83,91,1
"4394487",0,0,0
"4394492",180,349,4
"4394493",346,350,3
"4394494",1,0,0
"4394495",27,43,1
"4394496",87,206,3
"4394497",346,733,6
"4394498",259,175,6
"4394499",891,972,13
"4394503",139,307,6
"4394508",1084,959,20
"4394512",0,0,0
"4394528",1149,926,16
"4394531",960,575,18
"4394532",588,179,6
"4394533",434,321,8
"4394534",1123,819,20
"4394540",820,771,14
"4394551",1139,783,16
"4394563",0,0,0
"4394565",14,8,1
"4394568",20,8,1
"4394572",4,17,1
"4394573",0,0,0
"4394587",1,94,0
"4394588",1296,1044,18
"4394591",811,744,15
"4394592",0,0,0
"4394593",63,68,1
"4394595",21,15,0
"4394596",13,43,0
"4394598",0,0,0
"4394599",1495,1366,25
"4394602",0,0,0
"4394604",1,4,0
"4394615",0,0,0
"4394620",7,17,0
"4394629",0,0,0
"4394630",0,0,0
"4394632",0,0,0
"4394634",356,529,8
"4394638",666,556,7
"4394640",125,315,4
"4394649",1079,580,19
"4394650",773,646,20
"4394666",0,0,0
"4394682",55,118,0
"4394683",0,0,0
"4394685",0,0,0
"4394686",0,0,0
"4394687",20,56,1
"4394688",11,12,0
"4394689",44,46,0
"4394690",9,0,1
"4394691",4,9,0
"4394692",2,9,0
"4394693",1,2,0
"4394694",1070,815,12
"4394702",475,379,6
"4394703",594,723,13
"4410101",1254,600,31
"4410102",875,406,11
"4410103",914,409,12
"4410104",1293,370,11
"4410105",945,504,13
"4410106",238,147,3
"4410107",231,49,1
"4410108",675,83,4
"4410109",135,14,0
"4410110",48,6,0
"4410201",322,265,9
